h3_index,location_name,borough,street
872a100e6ffffff,"WHITESTONE EXPRESSWAY         , QUEENS",QUEENS,WHITESTONE EXPRESSWAY           
872a100e8ffffff,"HILLSIDE AVENUE               , QUEENS",QUEENS,HILLSIDE AVENUE                 
872a100e9ffffff,"LINDEN BOULEVARD              , QUEENS",QUEENS,LINDEN BOULEVARD                
872a100eaffffff,"QUEENS BOULEVARD              , QUEENS",QUEENS,QUEENS BOULEVARD                
872a100ebffffff,"LIBERTY AVENUE                , QUEENS",QUEENS,LIBERTY AVENUE                  
872a100ecffffff,"UNION TURNPIKE                , QUEENS",QUEENS,UNION TURNPIKE                  
872a100edffffff,"JAMAICA AVENUE                , QUEENS",QUEENS,JAMAICA AVENUE                  
872a100eeffffff,"VAN WYCK EXPWY                , QUEENS",QUEENS,VAN WYCK EXPWY                  
872a100f0ffffff,"DITMARS BOULEVARD             , QUEENS",QUEENS,DITMARS BOULEVARD               
872a100f1ffffff,"ASTORIA BOULEVARD             , QUEENS",QUEENS,ASTORIA BOULEVARD               
872a100f2ffffff,"FDR DRIVE                     , QUEENS",QUEENS,FDR DRIVE                       
872a100f3ffffff,"STEINWAY STREET               , QUEENS",QUEENS,STEINWAY STREET                 
872a100f4ffffff,"OAK POINT AVENUE              , BRONX",BRONX,OAK POINT AVENUE                
872a100f5ffffff,"GRAND CENTRAL PKWY            , QUEENS",QUEENS,GRAND CENTRAL PKWY              
872a100f6ffffff,"BRUCKNER BOULEVARD            , BRONX",BRONX,BRUCKNER BOULEVARD              
872a10189ffffff,"EAST 241 STREET               , BRONX",BRONX,EAST 241 STREET                 
872a1018bffffff,"BROADWAY                      , BRONX",BRONX,BROADWAY                        
872a10380ffffff,"BEACH CHANNEL DRIVE           , QUEENS",QUEENS,BEACH CHANNEL DRIVE             
872a10381ffffff,"BEACH 27 STREET               , QUEENS",QUEENS,BEACH 27 STREET                 
872a10382ffffff,"BEACH CHANNEL DRIVE           , QUEENS",QUEENS,BEACH CHANNEL DRIVE             
872a10383ffffff,"ROCKAWAY BEACH BOULEVARD      , QUEENS",QUEENS,ROCKAWAY BEACH BOULEVARD        
872a10384ffffff,"BEACH CHANNEL DRIVE           , QUEENS",QUEENS,BEACH CHANNEL DRIVE             
872a10385ffffff,"MOTT AVENUE                   , QUEENS",QUEENS,MOTT AVENUE                     
872a10391ffffff,"CROSS BAY BOULEVARD           , QUEENS",QUEENS,CROSS BAY BOULEVARD             
872a10394ffffff,"CROSS BAY BLVD, QUEENS",QUEENS,CROSS BAY BLVD
872a10395ffffff,"CROSS BAY BOULEVARD           , QUEENS",QUEENS,CROSS BAY BOULEVARD             
872a10396ffffff,"BELT PARKWAY                  , BROOKLYN",BROOKLYN,BELT PARKWAY                    
872a1039affffff,"ROCKAWAY BEACH BOULEVARD      , QUEENS",QUEENS,ROCKAWAY BEACH BOULEVARD        
872a1039cffffff,"ROCKAWAY BEACH BOULEVARD      , QUEENS",QUEENS,ROCKAWAY BEACH BOULEVARD        
872a1039effffff,"BEACH CHANNEL DRIVE           , QUEENS",QUEENS,BEACH CHANNEL DRIVE             
872a103a2ffffff,"ROCKAWAY BOULEVARD            , QUEENS",QUEENS,ROCKAWAY BOULEVARD              
872a103a6ffffff,"FRANCIS LEWIS BOULEVARD       , QUEENS",QUEENS,FRANCIS LEWIS BOULEVARD         
872a103b0ffffff,"BELT PARKWAY                  , QUEENS",QUEENS,BELT PARKWAY                    
872a103b2ffffff,"BELT PARKWAY                  , QUEENS",QUEENS,BELT PARKWAY                    
872a103b4ffffff,"BELT PARKWAY                  , QUEENS",QUEENS,BELT PARKWAY                    
872a103b5ffffff,"ROCKAWAY BOULEVARD            , QUEENS",QUEENS,ROCKAWAY BOULEVARD              
872a103b6ffffff,"VAN WYCK EXPWY                , QUEENS",QUEENS,VAN WYCK EXPWY                  
872a10600ffffff,"WEST SHORE EXPRESSWAY         , STATEN ISLAND",STATEN ISLAND,WEST SHORE EXPRESSWAY           
872a10601ffffff,"RICHMOND AVENUE               , STATEN ISLAND",STATEN ISLAND,RICHMOND AVENUE                 
872a10603ffffff,"WEST SHORE EXPRESSWAY         , STATEN ISLAND",STATEN ISLAND,WEST SHORE EXPRESSWAY           
872a10604ffffff,"RICHMOND AVENUE               , STATEN ISLAND",STATEN ISLAND,RICHMOND AVENUE                 
872a10605ffffff,"RICHMOND AVENUE               , STATEN ISLAND",STATEN ISLAND,RICHMOND AVENUE                 
872a10606ffffff,"SOUTH AVENUE                  , STATEN ISLAND",STATEN ISLAND,SOUTH AVENUE                    
872a10608ffffff,"HYLAN BOULEVARD               , STATEN ISLAND",STATEN ISLAND,HYLAN BOULEVARD                 
872a1060affffff,"HUGUENOT AVENUE               , STATEN ISLAND",STATEN ISLAND,HUGUENOT AVENUE                 
872a1060bffffff,"HYLAN BOULEVARD               , STATEN ISLAND",STATEN ISLAND,HYLAN BOULEVARD                 
872a1060cffffff,"RICHMOND AVENUE               , STATEN ISLAND",STATEN ISLAND,RICHMOND AVENUE                 
872a1060dffffff,"HYLAN BOULEVARD               , STATEN ISLAND",STATEN ISLAND,HYLAN BOULEVARD                 
872a1060effffff,"ARDEN AVENUE                  , STATEN ISLAND",STATEN ISLAND,ARDEN AVENUE                    
872a10619ffffff,"VETERANS ROAD WEST            , STATEN ISLAND",STATEN ISLAND,VETERANS ROAD WEST              
872a1061dffffff,"BLOOMINGDALE ROAD             , STATEN ISLAND",STATEN ISLAND,BLOOMINGDALE ROAD               
872a10620ffffff,"FOREST AVENUE                 , STATEN ISLAND",STATEN ISLAND,FOREST AVENUE                   
872a10621ffffff,"VICTORY BOULEVARD             , STATEN ISLAND",STATEN ISLAND,VICTORY BOULEVARD               
872a10622ffffff,"FOREST AVENUE                 , STATEN ISLAND",STATEN ISLAND,FOREST AVENUE                   
872a10623ffffff,"VICTORY BOULEVARD             , STATEN ISLAND",STATEN ISLAND,VICTORY BOULEVARD               
872a10624ffffff,"RICHMOND TERRACE              , STATEN ISLAND",STATEN ISLAND,RICHMOND TERRACE                
872a10625ffffff,"FOREST AVENUE                 , STATEN ISLAND",STATEN ISLAND,FOREST AVENUE                   
872a10626ffffff,"RICHMOND TERRACE              , STATEN ISLAND",STATEN ISLAND,RICHMOND TERRACE                
872a10628ffffff,"HYLAN BOULEVARD               , STATEN ISLAND",STATEN ISLAND,HYLAN BOULEVARD                 
872a10629ffffff,"EBBITTS STREET                , STATEN ISLAND",STATEN ISLAND,EBBITTS STREET                  
872a1062affffff,"ARTHUR KILL ROAD              , STATEN ISLAND",STATEN ISLAND,ARTHUR KILL ROAD                
872a1062bffffff,"HYLAN BOULEVARD               , STATEN ISLAND",STATEN ISLAND,HYLAN BOULEVARD                 
872a1062cffffff,"HYLAN BOULEVARD               , STATEN ISLAND",STATEN ISLAND,HYLAN BOULEVARD                 
872a1062dffffff,"CAPODANNO BOULEVARD           , STATEN ISLAND",STATEN ISLAND,CAPODANNO BOULEVARD             
872a1062effffff,"ROCKLAND AVENUE               , STATEN ISLAND",STATEN ISLAND,ROCKLAND AVENUE                 
872a10631ffffff,"Staten Island Expy            , STATEN ISLAND",STATEN ISLAND,Staten Island Expy              
872a10635ffffff,"RICHMOND TERRACE              , STATEN ISLAND",STATEN ISLAND,RICHMOND TERRACE                
872a106e0ffffff,"YETMAN AVENUE                 , STATEN ISLAND",STATEN ISLAND,YETMAN AVENUE                   
872a106e2ffffff,"CONNECTICUT STREET            , STATEN ISLAND",STATEN ISLAND,CONNECTICUT STREET              
872a106e4ffffff,"AMBOY ROAD                    , STATEN ISLAND",STATEN ISLAND,AMBOY ROAD                      
872a106e6ffffff,"AMBOY ROAD                    , STATEN ISLAND",STATEN ISLAND,AMBOY ROAD                      
872a10709ffffff,"VICTORY BOULEVARD             , STATEN ISLAND",STATEN ISLAND,VICTORY BOULEVARD               
872a1070bffffff,"RICHMOND TERRACE              , STATEN ISLAND",STATEN ISLAND,RICHMOND TERRACE                
872a1070effffff,"W 56th St                     , Unknown",Unknown,W 56th St                       
872a10721ffffff,"11 AVENUE                     , MANHATTAN",MANHATTAN,11 AVENUE                       
872a10725ffffff,"10 AVENUE                     , MANHATTAN",MANHATTAN,10 AVENUE                       
872a10728ffffff,"WEST STREET                   , MANHATTAN",MANHATTAN,WEST STREET                     
872a10729ffffff,"BROOKLYN QUEENS EXPRESSWAY    , BROOKLYN",BROOKLYN,BROOKLYN QUEENS EXPRESSWAY      
872a1072bffffff,"SULLIVAN STREET               , BROOKLYN",BROOKLYN,SULLIVAN STREET                 
872a1072cffffff,"CANAL STREET                  , MANHATTAN",MANHATTAN,CANAL STREET                    
872a1072dffffff,"TILLARY STREET                , BROOKLYN",BROOKLYN,TILLARY STREET                  
872a10740ffffff,"BELT PARKWAY                  , BROOKLYN",BROOKLYN,BELT PARKWAY                    
872a10741ffffff,"NEPTUNE AVENUE                , BROOKLYN",BROOKLYN,NEPTUNE AVENUE                  
872a10742ffffff,"BELT PARKWAY                  , BROOKLYN",BROOKLYN,BELT PARKWAY                    
872a10743ffffff,"NEPTUNE AVENUE                , BROOKLYN",BROOKLYN,NEPTUNE AVENUE                  
872a10744ffffff,"OCEAN PARKWAY                 , BROOKLYN",BROOKLYN,OCEAN PARKWAY                   
872a10745ffffff,"CONEY ISLAND AVENUE           , BROOKLYN",BROOKLYN,CONEY ISLAND AVENUE             
872a10746ffffff,"86 STREET                     , BROOKLYN",BROOKLYN,86 STREET                       
872a10750ffffff,"VERRAZANO BRIDGE UPPER        , STATEN ISLAND",STATEN ISLAND,VERRAZANO BRIDGE UPPER          
872a10752ffffff,"TARGEE STREET                 , STATEN ISLAND",STATEN ISLAND,TARGEE STREET                   
872a10753ffffff,"HYLAN BOULEVARD               , STATEN ISLAND",STATEN ISLAND,HYLAN BOULEVARD                 
872a10754ffffff,"3 AVENUE                      , BROOKLYN",BROOKLYN,3 AVENUE                        
872a10755ffffff,"86 STREET                     , BROOKLYN",BROOKLYN,86 STREET                       
872a10756ffffff,"BAY STREET                    , STATEN ISLAND",STATEN ISLAND,BAY STREET                      
872a1075cffffff,BROOKLYN,BROOKLYN,
872a10760ffffff,"UTICA AVENUE                  , BROOKLYN",BROOKLYN,UTICA AVENUE                    
872a10761ffffff,"FLATBUSH AVENUE               , BROOKLYN",BROOKLYN,FLATBUSH AVENUE                 
872a10762ffffff,"FLATBUSH AVENUE               , BROOKLYN",BROOKLYN,FLATBUSH AVENUE                 
872a10763ffffff,"FLATBUSH AVENUE               , BROOKLYN",BROOKLYN,FLATBUSH AVENUE                 
872a10764ffffff,"LINDEN BOULEVARD              , BROOKLYN",BROOKLYN,LINDEN BOULEVARD                
872a10765ffffff,"ROCKAWAY PARKWAY              , BROOKLYN",BROOKLYN,ROCKAWAY PARKWAY                
872a10766ffffff,"UTICA AVENUE                  , BROOKLYN",BROOKLYN,UTICA AVENUE                    
872a10768ffffff,"BELT PARKWAY                  , BROOKLYN",BROOKLYN,BELT PARKWAY                    
872a10769ffffff,"STATE ROAD                    , QUEENS",QUEENS,STATE ROAD                      
872a1076affffff,"BELT PARKWAY                  , BROOKLYN",BROOKLYN,BELT PARKWAY                    
872a1076bffffff,"ROCKAWAY POINT BOULEVARD      , QUEENS",QUEENS,ROCKAWAY POINT BOULEVARD        
872a1076cffffff,"BELT PARKWAY                  , BROOKLYN",BROOKLYN,BELT PARKWAY                    
872a1076dffffff,"MARINE PARKWAY BRIDGE         , QUEENS",QUEENS,MARINE PARKWAY BRIDGE           
872a1076effffff,"BELT PARKWAY                  , BROOKLYN",BROOKLYN,BELT PARKWAY                    
872a10770ffffff,"3 AVENUE                      , BROOKLYN",BROOKLYN,3 AVENUE                        
872a10771ffffff,"OCEAN PARKWAY                 , BROOKLYN",BROOKLYN,OCEAN PARKWAY                   
872a10772ffffff,"3 AVENUE                      , BROOKLYN",BROOKLYN,3 AVENUE                        
872a10773ffffff,"65 STREET                     , BROOKLYN",BROOKLYN,65 STREET                       
872a10774ffffff,"4 AVENUE                      , BROOKLYN",BROOKLYN,4 AVENUE                        
872a10775ffffff,"FLATBUSH AVENUE               , BROOKLYN",BROOKLYN,FLATBUSH AVENUE                 
872a10776ffffff,"VAN BRUNT STREET              , BROOKLYN",BROOKLYN,VAN BRUNT STREET                
872a10c10ffffff,"Deegan Ln                     , Unknown",Unknown,Deegan Ln                       
872a10c6cffffff,BROOKLYN,BROOKLYN,
872a10cc8ffffff,"Van Wyck Rd                   , Unknown",Unknown,Van Wyck Rd                     
872a10daaffffff,"Lower Level                   , Unknown",Unknown,Lower Level                     
872a12ae8ffffff,"WEST SHORE EXPRESSWAY         , Unknown",Unknown,WEST SHORE EXPRESSWAY           
872aa5d55ffffff,"S Avenue B                    , Unknown",Unknown,S Avenue B                      
872aa6430ffffff,"Gowans Rd                     , Unknown",Unknown,Gowans Rd                       
872ab5262ffffff,"6th Street Ext                , Unknown",Unknown,6th Street Ext                  
872b89206ffffff,"Foot Bridge Ext               , Unknown",Unknown,Foot Bridge Ext                 
872b8a0cdffffff,"Island Rd                     , Unknown",Unknown,Island Rd                       
8735a3ab6ffffff,"NASSAU EXPRESSWAY             , Unknown",Unknown,NASSAU EXPRESSWAY               
874455609ffffff,"E Off Ramp                    , Unknown",Unknown,E Off Ramp                      
